plan_id,department,quarter,headcount_approved,headcount_actual,notes
PLAN-001,Engineering & Product,Q3_2023,28.0,42,
PLAN-002,Engineering & Product,Q4_2023,35.0,64,
PLAN-003,Engineering & Product,Q1_2024,50.0,69,
PLAN-004,Engineering & Product,Q2_2024,85.0,79,"Actual includes 7 emergency headcount approvals not in standard plan. Plan = 85, emergency = 7, total approved = 92, actual = 92, variance = 0."
PLAN-005,Engineering & Product,Q3_2024,110.0,79,
PLAN-006,Engineering & Product,Q4_2024,140.0,83,
PLAN-007,Engineering & Product,Q1_2025,155.0,88,
PLAN-008,Engineering & Product,Q2_2025,165.0,90,
PLAN-009,Analytics,Q3_2023,5.0,9,
PLAN-010,Analytics,Q4_2023,8.0,13,
PLAN-011,Analytics,Q1_2024,12.0,12,
PLAN-012,Analytics,Q2_2024,18.0,15,
PLAN-013,Analytics,Q3_2024,25.0,15,
PLAN-014,Analytics,Q4_2024,32.0,15,
PLAN-015,Analytics,Q1_2025,36.0,18,
PLAN-016,Analytics,Q2_2025,40.0,21,
PLAN-017,Sales & Marketing,Q3_2023,8.0,24,
PLAN-018,Sales & Marketing,Q4_2023,12.0,28,
PLAN-019,Sales & Marketing,Q1_2024,18.0,34,
PLAN-020,Sales & Marketing,Q2_2024,28.0,32,
PLAN-021,Sales & Marketing,Q3_2024,38.0,32,
PLAN-022,Sales & Marketing,Q4_2024,48.0,32,
PLAN-023,Sales & Marketing,Q1_2025,52.0,34,
PLAN-024,Sales & Marketing,Q2_2025,56.0,39,
PLAN-025,Finance,Q3_2023,4.0,9,
PLAN-026,Finance,Q4_2023,5.0,11,
PLAN-027,Finance,Q1_2024,7.0,11,
PLAN-028,Finance,Q2_2024,10.0,10,
PLAN-029,Finance,Q3_2024,13.0,10,
PLAN-030,Finance,Q4_2024,16.0,10,
PLAN-031,Finance,Q1_2025,17.0,10,
PLAN-032,Finance,Q2_2025,18.0,13,
PLAN-033,Operations,Q3_2023,6.0,20,
PLAN-034,Operations,Q4_2023,9.0,27,
PLAN-035,Operations,Q1_2024,14.0,28,
PLAN-036,Operations,Q2_2024,22.0,27,
PLAN-037,Operations,Q3_2024,30.0,23,
PLAN-038,Operations,Q4_2024,,23,Q4 plan not submitted by department head at time of Finance export.
PLAN-039,Operations,Q1_2025,38.0,24,
PLAN-040,Operations,Q2_2025,42.0,28,
PLAN-041,HR & Legal,Q3_2023,4.0,18,
PLAN-042,HR & Legal,Q4_2023,6.0,22,
PLAN-043,HR & Legal,Q1_2024,9.0,23,
PLAN-044,HR & Legal,Q2_2024,14.0,21,
PLAN-045,HR & Legal,Q3_2024,18.0,23,
PLAN-046,HR & Legal,Q4_2024,,27,Q4 plan not submitted by department head at time of Finance export.
PLAN-047,HR & Legal,Q1_2025,20.0,25,
PLAN-048,HR & Legal,Q2_2025,22.0,23,
