change_id,employee_id,change_date,old_salary,new_salary,change_reason
CHG-0001,EMP-0197,2024-08-04,144000,150500,merit_increase
CHG-0002,EMP-0178,2024-06-19,49000,53000,role_change
CHG-0003,EMP-0208,2025-02-19,74000,77500,merit_increase
CHG-0004,EMP-0220,2024-08-29,64500,71500,merit_increase
CHG-0005,EMP-0221,2025-06-27,77500,89000,market_adjustment
CHG-0006,EMP-0296,2024-05-12,53000,59000,merit_increase
CHG-0007,EMP-0323,2024-04-12,114000,124500,merit_increase
CHG-0008,EMP-0078,2025-02-22,90000,106000,market_adjustment
CHG-0009,EMP-0270,2024-09-13,42500,45500,market_adjustment
CHG-0010,EMP-0203,2025-04-11,68000,75000,merit_increase
CHG-0011,EMP-0206,2024-08-19,45500,50500,merit_increase
CHG-0012,EMP-0097,2025-02-16,52000,62000,promotion
CHG-0013,EMP-0275,2024-10-23,96500,105000,role_change
CHG-0014,EMP-0341,2024-11-15,67500,70500,merit_increase
CHG-0015,EMP-0289,2024-07-16,62500,73000,market_adjustment
CHG-0016,EMP-0179,2024-04-30,76500,84500,merit_increase
CHG-0017,EMP-0317,2024-12-03,59000,65500,merit_increase
CHG-0018,EMP-0292,2024-02-16,94000,116500,promotion
CHG-0019,EMP-0234,2024-03-09,111500,131000,role_change
CHG-0020,EMP-0170,2024-05-19,67500,82000,promotion
CHG-0021,EMP-0014,2025-02-06,89000,98000,merit_increase
CHG-0022,EMP-0016,2025-03-02,69500,84500,promotion
CHG-0023,EMP-0284,2024-06-23,72000,76500,market_adjustment
CHG-0024,EMP-0325,2024-10-30,107000,119000,merit_increase
CHG-0025,EMP-0236,2024-04-23,74500,86500,promotion
CHG-0026,EMP-0263,2024-04-25,35000,44000,promotion
CHG-0027,EMP-0330,2024-02-02,76000,84000,role_change
CHG-0028,EMP-0180,2023-09-27,27500,29500,merit_increase
CHG-0029,EMP-0207,2024-06-01,115000,137500,role_change
CHG-0030,EMP-0099,2025-06-24,38000,42500,role_change
CHG-0031,EMP-0079,2025-02-19,95000,106000,market_adjustment
CHG-0032,EMP-0186,2024-09-18,46500,50000,merit_increase
CHG-0033,EMP-0182,2025-06-11,47500,55000,promotion
CHG-0034,EMP-0233,2024-10-23,72500,78000,merit_increase
CHG-0035,EMP-0312,2025-01-30,92500,99500,merit_increase
CHG-0036,EMP-0015,2025-02-25,88000,94000,merit_increase
CHG-0037,EMP-0198,2024-06-08,35500,46000,promotion
CHG-0038,EMP-0334,2024-02-17,54000,58500,role_change
CHG-0039,EMP-0313,2025-06-26,55000,58000,merit_increase
CHG-0040,EMP-0262,2024-10-07,42500,46500,role_change
CHG-0041,EMP-0337,2025-02-25,28000,30500,role_change
CHG-0042,EMP-0280,2025-06-03,113000,119000,merit_increase
CHG-0043,EMP-0297,2024-01-25,82000,89000,role_change
CHG-0044,EMP-0223,2024-01-15,36500,40000,merit_increase
CHG-0045,EMP-0304,2025-04-23,49500,60000,promotion
CHG-0046,EMP-0326,2024-10-31,114000,125000,market_adjustment
CHG-0047,EMP-0315,2024-11-06,5900,7000,promotion
CHG-0048,EMP-0080,2025-04-16,101500,111000,merit_increase
CHG-0049,EMP-0196,2024-03-02,69000,76000,merit_increase
CHG-0050,EMP-0218,2025-02-14,81500,85000,merit_increase
CHG-0051,EMP-0114,2025-02-16,140000,154000,merit_increase
CHG-0052,EMP-0329,2024-10-18,5700,6500,promotion
CHG-0053,EMP-0246,2025-01-30,99000,104000,merit_increase
