review_id,employee_id,review_period,rating,reviewer_id,submitted_date
REV-0001,EMP-0278,H1_2025,3,EMP-0033,2025-06-12
REV-0002,EMP-0339,H1_2024,4,EMP-0140,2024-06-24
REV-0003,EMP-0060,H2_2024,3,EMP-0005,2024-12-22
REV-0004,EMP-0297,H2_2024,3,EMP-0085,2024-12-07
REV-0005,EMP-0282,H2_2024,3,EMP-0061,2024-12-09
REV-0006,EMP-0249,H1_2024,4,EMP-0307,2024-07-14
REV-0007,EMP-0221,H1_2025,4,EMP-0117,2025-06-14
REV-0008,EMP-0097,H1_2025,3,EMP-0207,2025-06-27
REV-0009,EMP-0184,H1_2025,4,EMP-0107,2025-06-23
REV-0010,EMP-0192,H2_2024,3,EMP-0005,2024-12-01
REV-0011,EMP-0250,H2_2024,5,EMP-0248,2024-12-22
REV-0012,EMP-0287,H1_2024,3,EMP-0076,2024-07-04
REV-0013,EMP-0266,H1_2025,4,EMP-0085,2025-06-27
REV-0014,EMP-0239,H1_2025,4,EMP-0013,2025-06-05
REV-0015,EMP-0169,H2_2024,4,EMP-0269,2024-12-20
REV-0016,EMP-0028,H1_2024,4,EMP-0265,2024-06-11
REV-0017,EMP-0224,H2_2024,3,EMP-0116,2024-11-12
REV-0018,EMP-0220,H1_2025,4,EMP-0061,2025-06-10
REV-0019,EMP-0079,H1_2024,4,EMP-0167,2024-07-10
REV-0020,EMP-0300,H1_2025,3,EMP-0076,2025-06-14
REV-0021,EMP-0206,H1_2024,3,EMP-0060,2024-07-21
REV-0022,EMP-0114,H1_2025,3,EMP-0081,2025-06-01
REV-0023,EMP-0314,H1_2024,3,EMP-0100,2024-07-03
REV-0024,EMP-0190,H1_2025,3,EMP-0096,2025-06-12
REV-0025,EMP-0235,H1_2025,4,EMP-0076,2025-06-13
REV-0026,EMP-0179,H1_2024,2,EMP-0142,2024-06-22
REV-0027,EMP-0191,H1_2025,4,EMP-0163,2025-06-03
REV-0028,EMP-0294,H2_2024,4,EMP-0265,2024-11-05
REV-0029,EMP-0242,H1_2024,2,EMP-0033,2024-07-22
REV-0030,EMP-0193,H1_2025,3,EMP-0280,2025-06-14
REV-0031,EMP-0217,H1_2024,3,EMP-0080,2024-07-28
REV-0032,EMP-0061,H1_2025,4,EMP-0338,2025-06-17
REV-0033,EMP-0233,H1_2025,3,EMP-0236,2025-06-06
REV-0034,EMP-0279,H1_2025,4,EMP-0081,2025-06-18
REV-0035,EMP-0236,H1_2024,4,EMP-0082,2024-07-01
REV-0036,EMP-0267,H1_2024,5,EMP-0279,2024-06-10
REV-0037,EMP-0321,H1_2025,3,EMP-0116,2025-06-22
REV-0038,EMP-0335,H1_2025,4,EMP-0087,2025-06-11
REV-0039,EMP-0203,H2_2024,4,EMP-0015,2024-11-11
REV-0040,EMP-0263,H1_2025,5,EMP-0284,2025-06-26
REV-0041,EMP-0264,H2_2024,3,EMP-0061,2024-11-18
REV-0042,EMP-0243,H1_2024,3,EMP-0161,2024-07-03
REV-0043,EMP-0343,H1_2024,3,EMP-0162,2024-06-12
REV-0044,EMP-0208,H2_2024,4,EMP-0174,2024-11-10
REV-0045,EMP-0248,H1_2024,3,EMP-0251,2024-07-26
REV-0046,EMP-0197,H2_2024,2,EMP-0017,2024-11-16
REV-0047,EMP-0274,H1_2025,3,EMP-0147,2025-06-19
REV-0048,EMP-0219,H1_2024,2,EMP-0317,2024-06-18
REV-0049,EMP-0241,H2_2024,1,EMP-0057,2024-11-13
REV-0050,EMP-0199,H2_2024,3,EMP-0194,2024-12-25
REV-0051,EMP-0225,H1_2025,2,EMP-0138,2025-06-08
REV-0052,EMP-0270,H1_2024,3,EMP-0171,2024-07-21
REV-0053,EMP-0265,H1_2025,3,EMP-0234,2025-06-08
REV-0054,EMP-0157,H1_2024,3,EMP-0106,2024-06-23
REV-0055,EMP-0088,H1_2025,3,EMP-0147,2025-06-21
REV-0056,EMP-0304,H1_2024,4,EMP-0269,2024-07-14
REV-0057,EMP-0305,H1_2025,4,EMP-0101,2025-06-24
REV-0058,EMP-0319,H2_2024,4,EMP-0117,2024-12-06
REV-0059,EMP-0251,H1_2025,4,EMP-0061,2025-06-21
REV-0060,EMP-0113,H1_2024,2,EMP-0058,2024-07-02
REV-0061,EMP-0080,H1_2025,4,EMP-0243,2025-06-09
REV-0062,EMP-0288,H1_2024,3,EMP-0060,2024-06-26
REV-0063,EMP-0322,H2_2024,3,EMP-0095,2024-11-02
REV-0064,EMP-0330,H1_2024,4,EMP-0207,2024-07-20
REV-0065,EMP-0237,H1_2025,1,EMP-0049,2025-06-23
REV-0066,EMP-0024,H2_2024,5,EMP-0234,2024-11-19
REV-0067,EMP-0180,H1_2024,3,EMP-0015,2024-07-13
REV-0068,EMP-0306,H2_2024,4,EMP-0076,2024-12-12
REV-0069,EMP-0259,H1_2024,3,EMP-0288,2024-06-17
REV-0070,EMP-0210,H1_2024,4,EMP-0119,2024-07-25
REV-0071,EMP-0189,H1_2024,2,EMP-0033,2024-07-19
REV-0072,EMP-0331,H2_2024,5,EMP-0265,2024-11-10
REV-0073,EMP-0318,H2_2024,4,EMP-0233,2024-11-08
REV-0074,EMP-0256,H1_2025,4,EMP-0071,2025-06-06
REV-0075,EMP-0115,H1_2025,4,EMP-0033,2025-06-16
REV-0076,EMP-0057,H2_2024,4,EMP-0100,2024-12-07
REV-0077,EMP-0154,H2_2024,4,EMP-0058,2024-12-14
REV-0078,EMP-0112,H1_2025,4,EMP-0050,2025-06-17
REV-0079,EMP-0166,H2_2024,4,EMP-0297,2024-11-22
REV-0080,EMP-0341,H2_2024,3,EMP-0138,2024-11-26
REV-0081,EMP-0232,H1_2025,4,EMP-0326,2025-06-20
REV-0082,EMP-0328,H1_2024,5,EMP-0052,2024-07-09
REV-0083,EMP-0175,H1_2024,3,EMP-0107,2024-07-15
REV-0084,EMP-0289,H1_2025,3,EMP-0079,2025-06-16
REV-0085,EMP-0302,H1_2025,3,EMP-0246,2025-06-28
REV-0086,EMP-0200,H2_2024,4,EMP-0001,2024-12-07
REV-0087,EMP-0165,H2_2024,4,EMP-0017,2024-11-06
REV-0088,EMP-0260,H1_2025,3,EMP-0326,2025-06-22
REV-0089,EMP-0202,H1_2025,3,EMP-0330,2025-06-19
REV-0090,EMP-0280,H2_2024,3,EMP-0002,2024-12-09
REV-0091,EMP-0098,H2_2024,3,EMP-0077,2024-11-05
REV-0092,EMP-0271,H1_2025,4,EMP-0275,2025-06-09
REV-0093,EMP-0291,H2_2024,4,EMP-0085,2024-12-19
REV-0094,EMP-0244,H1_2024,4,EMP-0342,2024-06-22
REV-0095,EMP-0013,H2_2024,5,EMP-0085,2024-11-10
REV-0096,EMP-0015,H1_2025,4,EMP-0017,2025-06-12
