application_id,candidate_id,job_id,source,source_subtype,application_date,current_stage,current_stage_date,hired,rejected,withdrawn
APP-00001,CAND-0001,JOB-001,Employee Referral,Internal Referral,2025-04-29,Hired,2025-06-20,True,False,False
APP-00002,CAND-0002,JOB-001,Employee Referral,Internal Referral,2025-04-30,Hired,2025-06-22,True,False,False
APP-00003,CAND-0003,JOB-001,Referral,Internal Referral,2025-05-14,Hired,2025-07-09,True,False,False
APP-00004,CAND-0004,JOB-001,Employee Referral,Internal Referral,2025-05-05,Hired,2025-06-27,True,False,False
APP-00005,CAND-0005,JOB-001,Employee Referral,Internal Referral,2025-05-11,Hired,2025-07-15,True,False,False
APP-00006,CAND-0006,JOB-002,Employee Referral,Internal Referral,2025-06-26,Hired,2025-08-22,True,False,False
APP-00007,CAND-0007,JOB-002,Employee Referral,Internal Referral,2025-06-26,Hired,2025-08-07,True,False,False
APP-00008,CAND-0008,JOB-002,Employee Ref,Internal Referral,2025-06-26,Hired,2025-08-22,True,False,False
APP-00009,CAND-0009,JOB-002,Employee Referral,Internal Referral,2025-06-07,Hired,2025-08-28,True,False,False
APP-00010,CAND-0010,JOB-003,Employee Referral,Internal Referral,2025-06-26,Hired,2025-07-21,True,False,False
APP-00011,CAND-0011,JOB-003,Internal Referral,Internal Referral,2025-06-26,Hired,2025-08-24,True,False,False
APP-00012,CAND-0012,JOB-003,Employee Referral,Internal Referral,2025-06-26,Hired,2025-08-31,True,False,False
APP-00013,CAND-0013,JOB-004,Employee Referral,Internal Referral,2024-04-26,Hired,2024-07-11,True,False,False
APP-00014,CAND-0014,JOB-004,Referral,Internal Referral,2024-04-26,Hired,2024-06-15,True,False,False
APP-00015,CAND-0015,JOB-004,referral,Internal Referral,2024-04-11,Hired,2024-06-25,True,False,False
APP-00016,CAND-0016,JOB-004,Internal Referral,Internal Referral,03/31/2024,Hired,06/18/2024,True,False,False
APP-00017,CAND-0017,JOB-004,Employee Referral,Internal Referral,2024-04-02,Hired,2024-05-22,True,False,False
APP-00018,CAND-0018,JOB-005,Employee Referral,Internal Referral,06/26/2025,Hired,22/08/2025,True,False,False
APP-00019,CAND-0019,JOB-005,Referral,Internal Referral,2025-06-26,Hired,2025-08-30,True,False,False
APP-00020,CAND-0020,JOB-005,Employee Referral,Internal Referral,2025-06-26,Hired,2025-08-10,True,False,False
APP-00021,CAND-0021,JOB-005,Employee Referral,Internal Referral,2025-06-26,Hired,2025-09-01,True,False,False
APP-00022,CAND-0022,JOB-005,Employee Referral,Internal Referral,2025-06-26,Hired,2025-07-27,True,False,False
APP-00023,CAND-0023,JOB-005,Employee Referral,Internal Referral,2025-06-26,Hired,2025-07-25,True,False,False
APP-00024,CAND-0024,JOB-006,Employee Referral,Internal Referral,2024-02-14,Hired,2024-05-09,True,False,False
APP-00025,CAND-0025,JOB-006,Employee Referral,Internal Referral,2024-01-24,Hired,2024-04-09,True,False,False
