job_id,job_title,department,location,employment_type,requisition_open_date,requisition_close_date,hiring_manager_id,recruiter_id,headcount_approved,status,target_fill_date,job_level
JOB-001,Engineering Manager,Technology,"Kaunas, Lithuania",full_time,2025-04-05,2025-05-03,HM-003,REC-005,1,filled,2025-05-05,manager
JOB-002,Platform Engineer,Technology,"Kaunas, Lithuania",full_time,2025-05-29,2025-06-20,HM-023,REC-001,2,filled,2025-06-28,ic2
JOB-003,Mobile Engineer,Technology,"London, United Kingdom",full_time,2025-06-19,,HM-013,REC-003,1,open,2025-07-21,ic2
JOB-004,Engineering Manager,Technology,"Vilnius, Lithuania",full_time,2024-03-15,2024-05-14,HM-023,REC-006,1,filled,2024-04-14,manager
JOB-005,Security Engineer,Technology,"Kaunas, Lithuania",full_time,2025-07-09,2025-06-21,HM-015,REC-004,1,filled,2025-08-08,ic3
JOB-006,Platform Engineer,Technology,Remote - Europe,full_time,2024-01-13,2024-02-18,HM-025,REC-007,2,filled,2024-02-12,ic2
JOB-007,Engineering Manager,Technology,"Vilnius, Lithuania",contractor,2025-05-18,2025-06-08,HM-023,REC-003,1,filled,2025-06-17,manager
JOB-008,DevOps Engineer,Technology,"Vilnius, Lithuania",full_time,2025-06-02,,HM-009,REC-002,1,open,2025-07-24,ic2
JOB-009,Senior Mobile Engineer,Technology,Remote - Europe,full_time,2025-04-29,2025-05-19,HM-013,REC-003,1,filled,2025-05-29,ic3
JOB-010,Frontend Engineer,Technology,"Kaunas, Lithuania",full_time,2025-05-16,2025-06-23,HM-005,REC-006,1,filled,2025-06-15,ic2
JOB-011,Security Engineer,Technology,"Vilnius, Lithuania",full_time,2024-12-04,,HM-018,REC-007,1,open,2025-07-31,ic3
JOB-012,Head of Engineering,Technology,Remote - Europe,full_time,2025-06-08,,HM-021,REC-003,1,open,2025-07-08,director
JOB-013,DevOps Engineer,Technology,"Vilnius, Lithuania",contractor,2025-02-23,,HM-024,REC-003,1,on_hold,2025-08-30,ic2
