offer_id,application_id,offer_date,offer_amount,offer_currency,equity_offered,offer_status,decline_reason,accepted_date
OFR-001,APP-00001,2025-06-05,86.500,EUR,False,accepted,,2025-06-06
OFR-002,APP-00002,2025-05-29,76500,EUR,False,accepted,,2025-06-02
OFR-003,APP-00003,2025-06-18,78000,EUR,False,accepted,,2025-06-20
OFR-004,APP-00004,2025-05-30,"EUR80,500",EUR,False,accepted,,2025-06-01
OFR-005,APP-00005,2025-06-07,83000,EUR,True,accepted,,2025-06-11
OFR-006,APP-00006,2025-06-30,48000,EUR,False,accepted,,2025-07-03
OFR-007,APP-00007,2025-07-01,36000,EUR,False,accepted,,2025-07-05
OFR-008,APP-00008,2025-07-01,41000,EUR,False,accepted,,2025-07-05
OFR-009,APP-00009,2025-06-30,39000,EUR,False,accepted,,2025-07-02
OFR-010,APP-00010,2025-06-30,71500,GBP,True,accepted,,2025-07-01
OFR-011,APP-00011,2025-06-30,67k,GBP,False,accepted,,2025-07-01
OFR-012,APP-00012,2025-06-30,71000,GBP,False,accepted,,2025-07-03
OFR-013,APP-00013,2024-06-03,91500,EUR,False,accepted,,2024-06-06
OFR-014,APP-00014,2024-05-25,78000,EUR,False,accepted,,2024-05-28
OFR-015,APP-00015,2024-05-11,71500,EUR,False,accepted,,2024-05-14
OFR-016,APP-00016,2024-05-08,71500,EUR,False,accepted,,2024-05-12
OFR-017,APP-00017,2024-05-01,93500,EUR,False,accepted,,2024-05-05
OFR-018,APP-00018,2025-06-30,69500,EUR,True,accepted,,2025-07-02
OFR-019,APP-00019,2025-06-30,52000,EUR,False,accepted,,2025-07-03
OFR-020,APP-00020,2025-06-30,63500,EUR,False,accepted,,2025-07-03
OFR-021,APP-00021,2025-06-30,58500,EUR,False,accepted,,2025-07-01
OFR-022,APP-00022,2025-06-30,56000,EUR,False,accepted,,2025-07-02
OFR-023,APP-00023,2025-06-30,59000,EUR,False,accepted,,2025-07-01
OFR-024,APP-00024,2024-03-11,43000,EUR,False,accepted,,2024-03-14
OFR-025,APP-00025,2024-02-16,43500,EUR,True,accepted,,2024-02-18
OFR-026,APP-00026,2024-03-02,"EUR43,000",EUR,False,accepted,,2024-03-04
OFR-027,APP-00027,2024-02-21,47000,EUR,False,accepted,,2024-02-24
OFR-028,APP-00028,2024-02-09,37500,EUR,False,accepted,,2024-02-12
OFR-029,APP-00029,2024-03-12,42k,EUR,True,accepted,,2024-03-13
OFR-030,APP-00030,2025-06-30,88500,EUR,False,accepted,,2025-07-01
OFR-031,APP-00031,2025-06-30,90500,EUR,False,accepted,,2025-07-04
OFR-032,APP-00032,2025-06-30,80500,EUR,True,accepted,,2025-07-03
OFR-033,APP-00033,2025-06-30,71500,EUR,True,accepted,,2025-07-04
OFR-034,APP-00034,2025-07-01,48.000,EUR,False,accepted,,2025-07-03
OFR-035,APP-00035,2025-07-01,43000,EUR,False,accepted,,2025-07-03
OFR-036,APP-00036,2025-07-01,38.000,EUR,False,accepted,,2025-07-02
OFR-037,APP-00037,2025-06-12,67500,EUR,False,accepted,,2025-06-15
OFR-038,APP-00038,2025-06-07,53500,EUR,False,accepted,,2025-06-09
OFR-039,APP-00039,2025-06-11,53500,EUR,True,accepted,,2025-06-12
OFR-040,APP-00040,2025-06-07,69500,EUR,False,accepted,,2025-06-10
OFR-041,APP-00041,2025-06-30,36.500,EUR,False,accepted,,2025-07-02
OFR-042,APP-00042,2025-06-30,43500,EUR,False,accepted,,2025-07-03
OFR-043,APP-00043,2025-06-22,41000,EUR,True,accepted,,2025-06-26
OFR-044,APP-00044,2025-01-15,56500,EUR,True,accepted,,2025-01-19
OFR-045,APP-00045,2025-01-18,"EUR68,000",EUR,True,accepted,,2025-01-20
OFR-046,APP-00046,2025-02-09,53500,EUR,False,accepted,,2025-02-11
OFR-047,APP-00047,2025-01-20,61500,EUR,False,accepted,,2025-01-23
OFR-048,APP-00048,2025-01-03,60500,EUR,False,accepted,,2025-01-05
OFR-049,APP-00049,2025-06-30,127500,EUR,True,accepted,,2025-07-03
OFR-050,APP-00050,2025-07-01,118000,EUR,True,accepted,,2025-07-05
OFR-051,APP-00051,2025-06-30,142500,EUR,False,accepted,,2025-07-03
OFR-052,APP-00052,2025-06-30,125000,EUR,False,accepted,,2025-07-03
OFR-053,APP-00053,2025-04-09,45000,EUR,False,accepted,,2025-04-13
OFR-054,APP-00054,2025-04-24,38000,EUR,False,accepted,,2025-04-27
OFR-055,APP-00055,2025-04-18,44000,EUR,True,accepted,,2025-04-21
OFR-056,APP-00056,2024-09-09,85000,EUR,True,accepted,,2024-09-10
OFR-057,APP-00057,2024-09-04,73000,EUR,True,accepted,,2024-09-06
OFR-058,APP-00058,2024-10-03,90000,EUR,False,accepted,,2024-10-06
OFR-059,APP-00059,2024-09-13,86k,EUR,False,accepted,,2024-09-16
OFR-060,APP-00060,2024-09-03,72500,EUR,True,accepted,,2024-09-05
OFR-061,APP-00061,2024-10-01,87000,EUR,True,accepted,,2024-10-05
OFR-062,APP-00062,2025-06-30,47500,EUR,False,accepted,,2025-07-03
OFR-063,APP-00063,2025-06-30,38500,EUR,False,accepted,,2025-07-04
OFR-064,APP-00064,2025-06-30,51500,EUR,True,accepted,,2025-07-02
OFR-065,APP-00065,2025-06-30,51500,EUR,False,accepted,,2025-07-03
