event_id,application_id,from_stage,to_stage,event_date,event_type,rejection_reason,interviewer_id,notes
EVT-00001,APP-00001,Applied,Applied,2025-05-03,advanced,,,
EVT-00002,APP-00001,Applied,Resume Screen,2025-05-09,advanced,,,
EVT-00003,APP-00001,Resume Screen,Recruiter Screen,2025-05-10,advanced,,INT-018,
EVT-00004,APP-00001,Recruiter Screen,Hiring Manager Screen,2025-05-14,advanced,,INT-030,
EVT-00005,APP-00001,Hiring Manager Screen,Technical Assessment,2025-05-20,advanced,,,
EVT-00006,APP-00001,Technical Assessment,Technical Interview,2025-05-26,advanced,,INT-029,
EVT-00007,APP-00001,Technical Interview,Final Panel Interview,2025-05-29,advanced,,INT-020,
EVT-00008,APP-00001,Final Panel Interview,Reference Check,2025-06-02,advanced,,INT-018,
EVT-00009,APP-00001,References,Offer,2025-06-05,advanced,,,
EVT-00010,APP-00001,Offer,Offer Accepted,2025-06-06,advanced,,,
EVT-00011,APP-00001,Offer Accepted,Hired,2025-06-20,advanced,,,
EVT-00012,APP-00002,Applied,Applied,2025-05-04,advanced,,,
EVT-00013,APP-00002,Applied,Resume Screen,2025-05-07,advanced,,,
EVT-00014,APP-00002,Resume Screen,Recruiter Screen,2025-05-10,advanced,,INT-014,
EVT-00015,APP-00002,Phone Screen,hiring_manager_screen,05/14/2025,advanced,,INT-038,
EVT-00016,APP-00002,HM Call,Tech Assessment,2025-05-17,advanced,,,
EVT-00017,APP-00002,Technical Assessment,Technical Interview,2025-05-20,advanced,,INT-018,
EVT-00018,APP-00002,Technical Interview,Final Panel Interview,2025-05-24,advanced,,INT-018,
EVT-00019,APP-00002,Final Panel Interview,Reference Check,2025-05-28,advanced,,INT-015,
EVT-00020,APP-00002,Refs,Offer,2025-05-29,advanced,,,
EVT-00021,APP-00002,Offer,Offer Accepted,2025-06-01,advanced,,,
EVT-00022,APP-00002,Offer Accepted,Hired,2025-06-22,advanced,,,
EVT-00023,APP-00003,Applied,Applied,05/19/2025,advanced,,,
EVT-00024,APP-00003,Applied,Resume Screen,2025-05-08,advanced,,,
EVT-00025,APP-00003,Resume Screen,Recruiter Screen,26/05/2025,advanced,,INT-032,
EVT-00026,APP-00003,Recruiter Screen,Hiring Manager Screen,2025-05-29,advanced,,INT-035,
EVT-00027,APP-00003,Hiring Manager Screen,Technical Assessment,2025-06-01,advanced,,,
EVT-00028,APP-00003,Take Home Task,technical_interview,2025-06-09,advanced,,INT-029,
EVT-00029,APP-00003,Technical Interview,Final Panel Interview,2025-05-22,advanced,,INT-028,
EVT-00030,APP-00003,Final Panel Interview,Reference Check,14/06/2025,advanced,,INT-012,
EVT-00031,APP-00003,Reference Check,Offer,2025-06-06,advanced,,,
EVT-00032,APP-00003,Offer,Offer Accepted,2025-05-30,advanced,,,
EVT-00033,APP-00003,Offer Accepted,Hired,2025-07-09,advanced,,,
EVT-00034,APP-00004,Applied,Applied,2025-05-07,advanced,,,
EVT-00035,APP-00004,Applied,Resume Screen,2025-05-11,advanced,,,
EVT-00036,APP-00004,resume_screen,recruiter_screen,2025-05-12,advanced,,INT-019,
EVT-00037,APP-00004,Recruiter Screen,Hiring Manager Screen,2025-05-14,advanced,,INT-031,
EVT-00038,APP-00004,Hiring Manager Screen,Technical Assessment,2025-05-16,advanced,,,
EVT-00039,APP-00004,Technical Assessment,Technical Interview,2025-05-22,advanced,,INT-034,
EVT-00040,APP-00004,Technical Interview,Final Panel Interview,2025-05-25,advanced,,INT-038,
EVT-00041,APP-00004,Final Panel Interview,Reference Check,2025-05-27,advanced,,INT-028,
EVT-00042,APP-00004,reference_check,Offer,2025-05-30,advanced,,,
EVT-00043,APP-00004,Offer,Offer Accepted,2025-06-02,advanced,,,
EVT-00044,APP-00004,Offer Accepted,Hired,2025-06-27,advanced,,,
EVT-00045,APP-00005,Applied,Applied,2025-05-17,advanced,,,
EVT-00046,APP-00005,Applied,Resume Screen,2025-05-19,advanced,,,
EVT-00047,APP-00005,Resume Review,Recruiter Call,2025-05-20,advanced,,INT-012,
EVT-00048,APP-00005,Phone Interview,HM Screen,2025-05-21,advanced,,INT-031,
EVT-00049,APP-00005,Hiring Manager Screen,Technical Assessment,2025-05-24,advanced,,,
EVT-00050,APP-00005,Technical Assessment,Technical Interview,2025-05-29,advanced,,INT-039,
EVT-00051,APP-00005,Tech Interview,final_panel_interview,2025-06-01,advanced,,INT-033,
EVT-00052,APP-00005,Final Panel Interview,Reference Check,2025-06-05,advanced,,INT-011,
EVT-00053,APP-00005,Reference Check,Offer,2025-06-07,advanced,,,
EVT-00054,APP-00005,Offer,Offer Accepted,2025-06-09,advanced,,,
EVT-00055,APP-00005,Offer Accepted,Hired,2025-07-15,advanced,,,
EVT-00056,APP-00006,Applied,Applied,2025-06-29,advanced,,,
EVT-00057,APP-00006,Applied,Resume Screen,2025-06-30,advanced,,,
EVT-00058,APP-00006,Resume Screen,Recruiter Screen,2025-07-01,advanced,,INT-032,
EVT-00059,APP-00006,Recruiter Screen,Hiring Manager Screen,2025-06-30,advanced,,INT-006,
EVT-00060,APP-00006,Hiring Manager Screen,Technical Assessment,2025-06-30,advanced,,,
EVT-00061,APP-00006,Technical Assessment,Final Panel Interview,2025-06-30,advanced,,INT-011,
EVT-00062,APP-00006,Final Panel Interview,Offer,2025-06-30,advanced,,,
EVT-00063,APP-00006,Offer,Offer Accepted,2025-07-02,advanced,,,
EVT-00064,APP-00006,Offer Accepted,Hired,2025-08-22,advanced,,,
EVT-00065,APP-00007,Applied,Applied,2025-06-29,advanced,,,
EVT-00066,APP-00007,Applied,Resume Screen,2025-06-30,advanced,,,
EVT-00067,APP-00007,Resume Screen,Recruiter Screen,2025-07-01,advanced,,INT-036,
EVT-00068,APP-00007,Recruiter Screen,Hiring Manager Screen,2025-06-30,advanced,,INT-024,
EVT-00069,APP-00007,Hiring Manager Screen,Technical Assessment,2025-06-30,advanced,,,
EVT-00070,APP-00007,Technical Assessment,Final Panel Interview,2025-06-30,advanced,,INT-037,
EVT-00071,APP-00007,Final Panel,Offer,2025-07-01,advanced,,,
EVT-00072,APP-00007,Offer,Offer Accepted,2025-07-03,advanced,,,
EVT-00073,APP-00007,Offer Accepted,Hired,2025-08-07,advanced,,,
EVT-00074,APP-00008,Applied,Applied,2025-06-29,advanced,,,
EVT-00075,APP-00008,Applied,Resume Screen,2025-06-30,advanced,,,
EVT-00076,APP-00008,Resume Screen,Recruiter Screen,06/30/2025,advanced,,INT-036,
EVT-00077,APP-00008,Recruiter Screen,Hiring Manager Screen,2025-06-30,advanced,,INT-030,
EVT-00078,APP-00008,Hiring Manager Screen,Technical Assessment,2025-06-30,advanced,,,
EVT-00079,APP-00008,Technical Assessment,Final Panel Interview,2025-06-30,advanced,,INT-001,
EVT-00080,APP-00008,Final Panel Interview,Offer,2025-07-01,advanced,,,
EVT-00081,APP-00008,Offer,Offer Accepted,2025-07-05,advanced,,,
EVT-00082,APP-00008,Offer Accepted,Hired,2025-08-22,advanced,,,
EVT-00083,APP-00009,Applied,Applied,2025-06-10,advanced,,,
EVT-00084,APP-00009,Applied,resume_screen,2025-06-14,advanced,,,
EVT-00085,APP-00009,Resume Screen,Recruiter Screen,2025-06-17,advanced,,INT-001,
EVT-00086,APP-00009,Recruiter Screen,Hiring Manager Screen,2025-06-18,advanced,,INT-033,
EVT-00087,APP-00009,Hiring Manager Screen,Technical Assessment,2025-06-24,advanced,,,
EVT-00088,APP-00009,Technical Assessment,Final Panel Interview,2025-07-01,advanced,,INT-024,
EVT-00089,APP-00009,Final Panel Interview,Offer,2025-06-30,advanced,,,
EVT-00090,APP-00009,Offer,Offer Accepted,2025-07-02,advanced,,,
EVT-00091,APP-00009,Offer Accepted,Hired,2025-08-28,advanced,,,
EVT-00092,APP-00010,Applied,Applied,2025-07-01,advanced,,,
EVT-00093,APP-00010,Applied,Resume Screen,2025-06-30,advanced,,,
EVT-00094,APP-00010,Resume Screen,Recruiter Screen,2025-06-30,advanced,,INT-037,
EVT-00095,APP-00010,Recruiter Screen,Hiring Manager Screen,2025-07-01,advanced,,INT-040,
EVT-00096,APP-00010,Hiring Manager Screen,Technical Assessment,2025-06-30,advanced,,,
EVT-00097,APP-00010,Technical Assessment,Final Panel Interview,2025-06-30,advanced,,INT-037,
EVT-00098,APP-00010,Final Panel Interview,Offer,06/30/2025,advanced,,,
EVT-00099,APP-00010,Offer,Offer Accepted,2025-07-01,advanced,,,
EVT-00100,APP-00010,Offer Accepted,Hired,2025-07-21,advanced,,,
EVT-00101,APP-00011,Applied,Applied,2025-06-30,advanced,,,
EVT-00102,APP-00011,Applied,Resume Review,2025-06-30,advanced,,,
EVT-00103,APP-00011,CV Screen,phone_screen,2025-07-01,advanced,,INT-031,
EVT-00104,APP-00011,PHONE SCREEN,hiring_manager_screen,2025-06-30,advanced,,INT-023,
EVT-00105,APP-00011,Hiring Manager Screen,Technical Assessment,2025-06-30,advanced,,,
EVT-00106,APP-00011,Technical Assessment,Final Panel Interview,2025-06-30,advanced,,INT-007,
EVT-00107,APP-00011,Final Panel Interview,Offer,2025-06-30,advanced,,,
EVT-00108,APP-00011,Offer,Offer Accepted,2025-07-03,advanced,,,
EVT-00109,APP-00011,Offer Accepted,Hired,2025-08-24,advanced,,,
EVT-00110,APP-00012,Applied,Applied,2025-06-29,advanced,,,
EVT-00111,APP-00012,Applied,Resume Screen,2025-06-30,advanced,,,
EVT-00112,APP-00012,CV Review,Phone Interview,2025-06-30,advanced,,INT-029,
EVT-00113,APP-00012,Recruiter Screen,Hiring Manager Screen,2025-06-30,advanced,,INT-028,
EVT-00114,APP-00012,Manager Screen,Take Home Task,2025-06-30,advanced,,,
EVT-00115,APP-00012,Technical Assessment,Final Panel Interview,2025-06-30,advanced,,INT-022,
EVT-00116,APP-00012,Final Panel Interview,Offer,2025-06-30,advanced,,,
EVT-00117,APP-00012,Offer,Offer Accepted,2025-07-02,advanced,,,
EVT-00118,APP-00012,Offer Accepted,Hired,2025-08-31,advanced,,,
EVT-00119,APP-00013,Applied,Applied,2024-05-01,advanced,,,
EVT-00120,APP-00013,Applied,CV Screen,2024-05-06,advanced,,,
EVT-00121,APP-00013,Resume Screen,Recruiter Screen,2024-05-09,advanced,,INT-003,
EVT-00122,APP-00013,Recruiter Screen,Hiring Manager Screen,2024-05-12,advanced,,INT-006,
EVT-00123,APP-00013,Hiring Manager Screen,Technical Assessment,2024-05-18,advanced,,,
